timestamp,error_val,type
1576200667.880448,0,2
1576200667.8815846,0,2
1576200672.3876197,3168,0
1576200672.388017,0,3
1576200672.3909376,1,2
1576200672.3928642,7218,1
1576200672.3936932,7018,1
1576200672.3989081,13972,1
1576200672.399228,12452,1
1576200672.3992991,7514,1
1576200672.403876,18380,1
1576200672.404458,17976,1
1576200672.405303,19990,1
1576200672.4067976,19765,0
1576200672.4080331,22311,1
1576200672.4091802,1,3
1576200672.412461,2,2
1576200672.4139192,26520,1
1576200672.4168885,28398,1
1576200672.4181523,31235,1
1576200672.4186563,31419,1
1576200672.4196832,32400,1
1576200672.4278076,40188,1
1576200672.4285784,41299,1
1576200672.4295845,41820,1
1576200672.4296587,36300,0
1576200672.4302769,42534,1
1576200672.4314456,2,3
1576200672.4324782,3,2
1576200672.434676,41929,1
1576200672.4358478,43800,1
1576200672.4383028,45825,1
1576200672.439848,45127,0
1576200672.4400775,46932,1
1576200672.4409637,48254,1
1576200672.4412694,48873,1
1576200672.4413536,49523,1
1576200672.4418383,3,3
1576200672.4441736,4,2
1576200672.4452047,53468,1
1576200672.4460797,53566,1
1576200672.4485567,52363,1
1576200672.452509,58183,1
1576200672.4539144,57472,1
1576200672.4549403,57694,1
1576200672.4550424,56043,1
1576200672.4604425,64509,1
1576200672.4623988,63431,1
1576200672.462451,67594,1
1576200672.4638035,69329,1
1576200672.4657376,67632,0
1576200672.466162,3,3
1576200672.467733,5,2
1576200672.4684541,70392,1
1576200672.4687603,69522,1
1576200672.4699948,71236,1
1576200672.4727516,74505,1
1576200672.4734974,73920,1
1576200672.4749691,76360,1
1576200672.4762902,75666,1
1576200672.4775834,78466,1
1576200672.478201,79641,1
1576200672.4810767,79023,0
1576200672.4817235,4,3
1576200672.482349,6,2
1576200672.4856555,82045,1
1576200672.4857056,81766,1
1576200672.4882567,85620,1
1576200672.4885592,84998,1
1576200672.491767,87538,1
1576200672.4928896,90363,0
1576200672.4940052,89334,1
1576200672.4943407,5,3
1576200672.497046,94244,1
1576200672.4976637,94701,1
1576200672.4986827,96046,1
1576200672.4988618,7,2
1576200672.4996874,95851,1
1576200672.5030215,98938,1
1576200672.503192,99640,1
1576200672.5042248,99393,1
1576200672.5056944,100376,1
1576200672.508493,104112,1
1576200672.5123959,106478,1
1576200672.5136192,109796,1
1576200672.5137231,110807,1
1576200672.5152948,107844,0
1576200672.515955,6,3
1576200672.5168765,8,2
1576200672.5182383,110185,1
1576200672.5182958,110524,1
1576200672.5199811,112230,1
1576200672.5230162,113727,1
1576200672.5256655,114384,1
1576200672.526077,117911,1
1576200672.5263066,118225,1
1576200672.5276248,119958,1
1576200672.5292475,119596,1
1576200672.5330658,7,2
1576200672.533997,123485,0
1576200672.5341938,7,3
1576200672.5346634,8,2
1576200672.541339,127520,1
1576200672.5415077,126750,1
1576200672.5416682,128636,1
1576200672.5432043,128234,1
1576200672.543998,132908,1
1576200672.544739,132415,1
1576200672.5470653,135548,1
1576200672.548116,136296,1
1576200672.548584,136487,1
1576200672.557809,7,2
1576200672.5673337,6,2
1576200672.578558,5,2
1576200672.582953,4,2
1576200672.5872276,3,2
1576200672.5923743,2,2
1576200672.5955935,1,2
1576200672.5976825,0,2
1576200677.598716,4429,0
1576200677.5996904,0,3
1576200677.6000304,1,2
1576200677.6029434,8556,1
1576200677.603645,8828,0
1576200677.6072457,11638,1
1576200677.6089058,12220,1
1576200677.609498,15265,1
1576200677.6112301,1,3
1576200677.6138384,19338,1
1576200677.6144245,2,2
1576200677.6151543,20721,1
1576200677.6160455,18930,1
1576200677.6165788,19000,1
1576200677.616796,21961,1
1576200677.6177204,23239,1
1576200677.6191797,23043,1
1576200677.6228635,25142,1
1576200677.6300638,31547,1
1576200677.631844,34293,0
1576200677.6323488,35331,1
1576200677.6324124,35634,1
1576200677.633506,37836,1
1576200677.6349325,2,3
1576200677.635116,40005,1
1576200677.6374462,42799,1
1576200677.638158,39781,1
1576200677.6382322,3,2
1576200677.63956,44250,1
1576200677.641516,46337,1
1576200677.6424296,44835,1
1576200677.6436965,48275,1
1576200677.644245,49020,1
1576200677.645034,50329,1
1576200677.6476197,51502,0
1576200677.6476648,52560,1
1576200677.6479836,53236,1
1576200677.6486325,3,3
1576200677.650224,4,2
1576200677.651113,55495,1
1576200677.6523209,56079,1
1576200677.6527832,56871,1
1576200677.653071,56752,1
1576200677.656514,60603,1
1576200677.6574264,59770,1
1576200677.6583493,62275,1
1576200677.65879,62450,1
1576200677.6589696,63135,0
1576200677.6601648,4,3
1576200677.6607523,64872,1
1576200677.664103,67678,1
1576200677.6641743,5,2
1576200677.6669042,68229,1
1576200677.6669555,70250,1
1576200677.6673927,71647,1
1576200677.6698272,73349,1
1576200677.6703582,73715,1
1576200677.6722775,75382,1
1576200677.6726263,76344,1
1576200677.6732762,77321,1
1576200677.6744635,77935,0
1576200677.6748211,5,3
1576200677.6755013,6,2
1576200677.6760063,79609,1
1576200677.677909,81052,1
1576200677.6781337,81268,1
1576200677.6805391,84068,0
1576200677.6809661,82890,1
1576200677.6816568,83746,1
1576200677.6830816,85566,1
1576200677.683474,86432,1
1576200677.6838157,87366,1
1576200677.684378,6,3
1576200677.6845706,87224,1
1576200677.6860437,7,2
1576200677.6904473,92599,1
1576200677.6909046,92848,1
1576200677.69173,95029,1
1576200677.693155,94794,1
1576200677.693707,96087,1
1576200677.6954,98999,1
1576200677.6954925,96732,0
1576200677.695808,99111,1
1576200677.697403,100548,1
1576200677.6980588,7,3
1576200677.6982148,101738,1
1576200677.6993976,8,2
1576200677.70082,104121,1
1576200677.7026327,104518,1
1576200677.7031276,106164,1
1576200677.703566,106873,1
1576200677.7045286,107376,0
1576200677.705246,107124,1
1576200677.7053442,109066,1
1576200677.706948,108750,1
1576200677.707242,8,3
1576200677.707813,111063,1
1576200677.7088552,111637,1
1576200677.7089603,9,2
1576200677.7115476,114056,1
1576200677.7123592,113229,1
1576200677.7126176,114113,1
1576200677.7126527,114609,1
1576200677.716725,119417,1
1576200677.7185686,119800,1
1576200677.719802,121755,1
1576200677.7210753,123527,1
1576200677.72157,123963,1
1576200677.728862,8,2
1576200677.7369494,7,2
1576200677.7442582,6,2
1576200677.7533176,5,2
1576200677.7610505,4,2
1576200677.7659225,3,2
1576200677.7704682,2,2
1576200677.7742865,1,2
1576200677.77655,0,2
1576200682.7741446,1949,0
1576200682.7743838,0,3
1576200682.7745829,1,2
1576200682.7778049,4839,1
1576200682.7810237,7509,1
1576200682.7816658,7049,1
1576200682.7852666,10648,1
1576200682.785982,11764,1
1576200682.7877345,14466,1
1576200682.7878215,15323,1
1576200682.788034,12218,0
1576200682.7908802,17953,1
1576200682.7909522,1,3
1576200682.7924354,2,2
1576200682.7927356,19475,1
1576200682.7965748,20360,1
1576200682.7994032,24588,1
1576200682.8021843,28417,1
1576200682.8052323,31856,1
1576200682.807952,35137,1
1576200682.8099759,36087,1
1576200682.8113728,36715,0
1576200682.8130891,2,3
1576200682.8134096,37620,1
1576200682.816368,3,2
1576200682.8179166,44185,1
1576200682.8186529,44626,1
1576200682.8198752,46173,1
1576200682.8213446,47068,1
1576200682.8234913,46651,1
1576200682.8247666,51000,1
1576200682.825462,51544,0
1576200682.8264284,52782,1
1576200682.8281965,3,3
1576200682.8305504,55749,1
1576200682.8306055,4,2
1576200682.8306658,54312,1
1576200682.8325179,57804,1
1576200682.832829,58662,1
1576200682.8343346,59184,1
1576200682.8349264,58298,1
1576200682.8375485,62950,1
1576200682.8379967,63136,1
1576200682.8399763,65241,1
1576200682.8405097,63634,1
1576200682.8420625,67902,1
1576200682.8421233,67633,1
1576200682.8451862,69512,0
1576200682.8455014,71625,1
1576200682.8465607,4,3
1576200682.8476696,5,2
1576200682.848411,74266,1
1576200682.8514345,76441,1
1576200682.851748,76510,1
1576200682.8518772,77339,1
1576200682.8537424,78787,1
1576200682.8540869,79569,1
1576200682.8541374,79284,1
1576200682.8558812,81011,1
1576200682.856343,81509,0
1576200682.8568692,82961,1
1576200682.857191,5,3
1576200682.8581896,6,2
1576200682.8600945,85378,1
1576200682.8605282,85956,1
1576200682.8657448,87381,1
1576200682.866445,91170,1
1576200682.866917,88706,1
1576200682.8685303,93222,1
1576200682.8689334,93134,1
1576200682.8701446,94098,1
1576200682.8704476,95707,1
1576200682.870782,95379,0
1576200682.8716342,6,3
1576200682.8727312,7,2
1576200682.8737543,98755,1
1576200682.877738,99081,1
1576200682.8802297,103677,1
1576200682.8828065,107489,1
1576200682.883425,106851,0
1576200682.8836427,108526,1
1576200682.8854332,7,3
1576200682.8855872,110891,1
1576200682.887118,111548,1
1576200682.8885684,109962,1
1576200682.8887088,8,2
1576200682.8902907,114426,1
1576200682.8907092,115647,1
1576200682.8926218,117332,1
1576200682.893737,118175,1
1576200682.894114,117951,1
1576200682.8976994,121748,1
1576200682.8987286,122085,1
1576200682.8990912,122621,1
1576200682.9002156,123428,0
1576200682.9003918,124759,1
1576200682.9005787,124585,1
1576200682.9014957,8,3
1576200682.9019594,9,2
1576200682.9049065,129104,1
1576200682.905358,129630,1
1576200682.9082034,129969,1
1576200682.9106488,133243,1
1576200682.9110134,135332,1
1576200682.9116108,134010,1
1576200682.9118757,135890,1
1576200682.914413,138688,1
1576200682.915,139152,1
1576200682.921827,8,2
1576200682.9322686,7,2
1576200682.9402294,6,2
1576200682.9452083,5,2
1576200682.9494317,4,2
1576200682.9533412,3,2
