timestamp,error_val,type
1576197158.986969,0,2
1576197161.493841,2290,0
1576197161.4941895,0,3
1576197161.4947333,1,2
1576197161.5019193,9813,1
1576197161.5052793,9903,1
1576197161.5055954,8448,0
1576197161.5071747,7644,0
1576197161.5076346,12489,1
1576197161.5082679,1,3
1576197161.508667,16817,1
1576197161.5088458,13644,1
1576197161.510668,2,2
1576197161.512638,17045,1
1576197161.514457,2,3
1576197161.5147436,3,2
1576197161.521711,24418,1
1576197161.5242789,14240,0
1576197161.524844,20440,1
1576197161.5269225,2,3
1576197161.5273817,4,2
1576197161.5326538,33847,1
1576197161.53274,34245,1
1576197161.5338793,35222,1
1576197161.5355933,17103,0
1576197161.5356262,36895,1
1576197161.5357945,42266,1
1576197161.5363255,42392,1
1576197161.5368986,3,3
1576197161.5379906,5,2
1576197161.5380137,44372,1
1576197161.5388641,44919,1
1576197161.5394344,45650,1
1576197161.539924,45545,1
1576197161.5408103,34119,1
1576197161.5410008,33769,1
1576197161.5411315,4,2
1576197161.5431898,19514,0
1576197161.5433924,36595,1
1576197161.5447786,36791,1
1576197161.5472217,36235,1
1576197161.5499332,36921,1
1576197161.5501316,4,3
1576197161.5509307,32376,1
1576197161.5510135,32841,1
1576197161.5511718,32092,1
1576197161.552921,5,2
1576197161.553216,35074,1
1576197161.5532703,34874,1
1576197161.5548441,36117,1
1576197161.5556774,32140,1
1576197161.5567207,32755,1
1576197161.5579004,33293,1
1576197161.5582356,34662,1
1576197161.5583274,33359,1
1576197161.5583823,33462,1
1576197161.5592098,4,2
1576197161.5632958,3,2
1576197161.5674,2,2
1576197161.5692494,1,2
1576197161.5699883,0,2
1576197162.4961777,1519,0
1576197162.496414,0,3
1576197162.4984543,1,2
1576197162.4988837,3497,1
1576197162.5038245,7164,1
1576197162.504341,9552,1
1576197162.5051281,9709,1
1576197162.509662,11135,1
1576197162.511641,17094,1
1576197162.5122468,16451,1
1576197162.5124536,16138,1
1576197162.5287027,12499,0
1576197162.533203,0,2
1576197162.5364764,0,3
1576197162.5366724,1,2
1576197162.5379934,21560,1
1576197162.5404034,23855,1
1576197162.5404541,22530,1
1576197162.5414777,22760,1
1576197162.5443158,26455,1
1576197162.544578,26059,1
1576197162.5455055,28868,1
1576197162.5498393,29485,1
1576197162.5559711,0,2
1576197166.5531087,12157,0
1576197166.554617,0,3
1576197166.5592175,1,2
1576197166.569014,26240,0
1576197166.5698695,1,3
1576197166.571624,30360,1
1576197166.571733,30604,1
1576197166.5776155,2,2
1576197166.5780122,35938,1
1576197166.5789154,36736,1
1576197166.579507,37448,1
1576197166.5796824,36854,1
1576197166.5798242,32943,0
1576197166.5825672,40364,1
