timestamp,error_val,type
1576198977.0307624,0,2
1576198979.0416923,6595,0
1576198979.0428753,0,3
1576198979.0550327,14331,1
1576198979.0558343,19855,1
1576198979.0564082,1,2
1576198979.0584366,23469,1
1576198979.0591843,22646,1
1576198979.072328,9217,0
1576198979.072607,0,3
1576198979.0728018,2,2
1576198979.0768828,13927,1
1576198979.077232,1,2
1576198979.0777514,14659,1
1576198979.078961,16367,1
1576198979.081749,18581,1
1576198979.081845,18814,1
1576198979.0852969,0,2
1576198979.548716,2641,0
1576198979.5490415,0,3
1576198979.5493302,1,2
1576198979.5550086,7284,1
1576198979.5567126,8869,1
1576198979.5574844,8612,1
1576198979.570248,12532,1
1576198979.5722923,18816,1
1576198979.5728016,26209,1
1576198979.5790977,0,2
1576198980.0522225,4632,0
1576198980.0526643,0,3
1576198980.052906,1,2
1576198980.0601056,9986,1
1576198980.0605638,11398,1
1576198980.0608065,12238,1
1576198980.0650356,15170,1
1576198980.0720599,15299,1
1576198980.0751014,25978,1
1576198980.0753038,28090,1
1576198980.0801828,12626,0
1576198980.0808623,0,3
1576198980.08122,12592,0
1576198980.0823932,2,2
1576198980.083428,1,3
1576198980.0836484,16100,1
1576198980.087463,20318,1
1576198980.0883563,3,2
1576198980.088825,20848,1
1576198980.0907254,22082,1
1576198980.0922716,16103,0
1576198980.0929644,2,3
1576198980.093444,25909,1
1576198980.0937936,26037,1
1576198980.0938997,4,2
1576198980.0940697,24492,1
1576198980.0944135,25690,1
1576198980.095859,27458,1
1576198980.0960639,27583,1
1576198980.0975142,28959,1
1576198980.097538,3,2
1576198980.1008835,30444,1
1576198980.1012955,26070,1
1576198980.101541,32698,1
1576198980.101846,32824,1
1576198980.1027613,27656,1
1576198980.1031377,28089,1
1576198980.1040003,29080,1
1576198980.1047351,29806,1
1576198980.1049395,30080,1
1576198980.1052053,30105,1
1576198980.1075883,2,2
1576198980.1128228,1,2
1576198980.114667,0,2
1576198980.547798,1481,0
1576198980.5481117,0,3
1576198980.550004,1,2
1576198980.554297,6968,1
1576198980.5561204,8613,1
1576198980.5581994,7819,1
1576198980.5587506,12139,1
1576198980.5640006,16838,1
1576198980.5765996,29615,1
1576198980.5775077,29455,1
1576198980.5776606,27580,1
1576198980.5912848,0,2
1576198984.5635035,5577,0
1576198984.5637403,0,3
1576198984.56566,1,2
1576198984.5707886,10052,1
1576198984.573563,15659,1
1576198984.5737503,13535,1
1576198984.576343,13381,1
1576198984.5836668,20790,1
1576198984.5870242,19923,1
1576198984.5904117,19171,0
1576198984.5931945,1,3
1576198984.5934339,35665,1
1576198984.5946295,2,2
1576198984.5958023,35273,1
1576198984.6009154,38221,1
1576198984.6047654,40682,1
1576198984.609642,45255,1
1576198984.6113157,46786,1
1576198984.6149485,52162,1
1576198984.6187563,58736,1
1576198984.6188865,58600,1
1576198984.6190407,59241,1
1576198984.619525,37264,0
1576198984.6202142,2,3
1576198984.6209142,3,2
1576198984.6219175,38935,1
1576198984.6221068,39543,1
1576198984.622223,39605,1
1576198984.62299,40134,1
1576198984.6239674,41302,1
1576198984.624434,42004,1
1576198984.624493,41948,1
1576198984.6247153,41564,1
1576198984.6249409,2,2
1576198984.63275,1,2
1576198984.637613,0,2
1576198985.631258,1693,0
1576198985.6314683,0,3
1576198985.6316497,1,2
1576198985.6342695,4646,1
1576198985.6384711,6597,1
1576198985.641332,8772,0
1576198985.6446557,1,3
1576198985.6452951,13774,1
1576198985.6457872,11581,0
1576198985.6487567,15372,1
1576198985.6543653,24654,1
1576198985.6564157,2,2
1576198985.6573415,25784,1
1576198985.6587257,26717,1
1576198985.6588979,27134,1
1576198985.6601076,26402,1
1576198985.6611505,28938,1
1576198985.665313,2,3
1576198985.6727233,3,2
1576198985.673249,42010,1
1576198985.6760674,43461,1
1576198985.6778288,44904,1
1576198985.678342,46421,0
1576198985.6790369,47142,1
1576198985.6808658,49785,1
1576198985.6830876,49927,1
1576198985.6839771,3,3
1576198985.6857665,53503,1
1576198985.686038,4,2
1576198985.6863155,54203,1
1576198985.6863475,52527,0
1576198985.6872137,55581,1
1576198985.687628,55641,1
1576198985.6887844,56779,1
1576198985.688951,57277,1
1576198985.6889899,4,3
1576198985.6894922,57503,1
1576198985.6913974,59122,1
1576198985.691472,5,2
1576198985.69263,60716,1
1576198985.693536,60259,1
1576198985.6968436,64023,1
1576198985.6968987,64134,1
1576198985.6969507,63916,1
1576198985.6980033,65865,1
1576198985.6998117,65965,1
1576198985.701563,68829,1
1576198985.7050283,71498,1
1576198985.7100477,77266,1
1576198985.7103262,77760,1
1576198985.71207,79358,1
1576198985.7126245,79458,1
1576198985.7127914,79408,1
1576198985.7139187,81364,1
1576198985.7150779,82759,1
1576198985.71725,4,2
1576198985.7268884,3,2
1576198985.7380972,2,2
1576198985.7444513,1,2
1576198985.7476292,0,2
1576198989.7417371,1940,0
1576198989.742062,0,3
1576198989.7423112,1,2
1576198989.7452772,5510,1
1576198989.746715,6426,1
1576198989.749268,6019,0
1576198989.7494714,1,3
1576198989.749811,6412,0
1576198989.7540734,2,2
1576198989.754407,14357,1
1576198989.757921,18157,1
1576198989.758313,2,3
1576198989.75866,17963,1
1576198989.7642417,3,2
1576198989.7677472,23381,1
1576198989.7683573,24123,1
1576198989.775246,29330,1
1576198989.7886288,41765,1
1576198989.7894988,44295,1
1576198989.7930586,46345,1
1576198989.7937891,46963,1
1576198989.7953937,52057,1
1576198989.7977405,51512,1
1576198989.8055813,59039,1
1576198989.806048,61086,1
1576198989.8063757,63746,1
1576198989.8082352,59181,1
1576198989.8099217,66806,1
1576198989.8152745,71692,1
1576198989.8160338,68096,1
1576198989.8168995,72692,1
1576198989.8177822,75692,1
1576198989.8184066,76177,1
1576198989.8198137,2,2
1576198989.8282084,1,2
1576198989.837632,0,2
1576198990.826418,1947,0
1576198990.8267193,0,3
1576198990.8278668,1,2
1576198990.8329096,5055,0
1576198990.833436,8578,1
1576198990.8343854,7892,1
1576198990.8348095,7131,1
1576198990.8401623,1,3
1576198990.8445325,2,2
1576198990.84573,20174,1
1576198990.845955,18494,1
1576198990.8462234,16426,1
1576198990.8471518,19552,1
1576198990.850018,20441,0
1576198990.8503842,16989,1
1576198990.8587508,26326,1
1576198990.8590808,29694,1
1576198990.8593142,2,3
1576198990.8639977,3,2
1576198990.8670642,32798,0
1576198990.8676114,38812,1
1576198990.8701313,39648,1
1576198990.8704205,43568,1
1576198990.8713856,44576,1
1576198990.8719804,3,3
1576198990.8721566,41854,1
1576198990.8746767,4,2
1576198990.876352,49403,1
1576198990.8774123,49153,1
1576198990.8780737,50015,1
1576198990.883189,52918,0
1576198990.8882203,4,3
1576198990.8910627,62806,1
1576198990.8916597,5,2
1576198990.893663,64441,1
1576198990.8938277,65981,1
1576198990.894924,66789,1
1576198990.8961718,67289,1
1576198990.8978188,69432,1
1576198990.8992388,69966,1
1576198990.900859,68245,1
1576198990.9024107,70571,1
1576198990.9029784,73682,1
1576198990.9039612,74001,1
1576198990.9052467,76067,1
1576198990.9060082,76762,1
1576198990.9062526,76919,1
1576198990.9080887,76793,1
1576198990.9086974,77890,1
1576198990.910345,79392,1
1576198990.9110904,80823,1
1576198990.911467,80556,1
1576198990.9115973,80723,1
1576198990.912077,81145,1
1576198990.9123518,81741,1
1576198990.9147666,4,2
1576198990.9220717,3,2
1576198990.9292524,2,2
1576198990.936015,1,2
1576198990.9398248,0,2
1576198994.9335775,2938,0
1576198994.9343853,3028,0
1576198994.9348276,0,3
1576198994.938516,6432,1
1576198994.9404938,1,2
1576198994.9410763,9833,1
1576198994.942432,11535,1
1576198994.946708,13142,1
1576198994.9481673,15475,1
1576198994.9491405,17352,1
1576198994.9520082,1,3
1576198994.959725,24217,0
1576198994.9644694,2,2
1576198994.9713206,39752,1
1576198994.9715333,2,3
1576198994.9716866,39980,1
1576198994.9732146,3,2
1576198994.9766085,44478,1
1576198994.9788666,45972,1
1576198994.9789824,46425,1
1576198994.9798229,47275,1
1576198994.9798465,47608,1
1576198994.9814768,48382,1
1576198994.9818544,50064,1
1576198994.9824562,47225,1
1576198994.984709,48735,1
1576198994.986092,50232,1
1576198994.9863274,50634,1
1576198994.9866216,51209,1
1576198994.9872515,51836,1
1576198994.9888585,53723,1
1576198994.9890623,53753,1
1576198994.9901676,54830,1
1576198994.9908724,2,2
1576198994.9957607,1,2
1576198994.9997811,0,2
