timestamp,error_val,type
1576231939.5549836,0,2
1576231942.0626862,2753,0
1576231942.0657856,0,3
1576231942.0666134,1,2
1576231942.066937,1699,0
1576231942.0674403,3016,0
1576231942.0676763,7149,1
1576231942.0679357,1,3
1576231942.0685499,8680,1
1576231942.069206,2,2
1576231942.0698066,9383,1
1576231942.070057,9931,1
1576231942.0705802,10457,1
1576231942.0708606,2,3
1576231942.0711994,10976,1
1576231942.071954,3,2
1576231942.0728693,7299,1
1576231942.07338,8030,1
1576231942.074354,4163,0
1576231942.075284,9156,1
1576231942.0753093,8905,1
1576231942.0754824,2,3
1576231942.0758357,4,2
1576231942.076045,10309,1
1576231942.076143,10531,1
1576231942.0777192,13086,1
1576231942.0778887,14087,1
1576231942.0786684,14676,1
1576231942.0789762,14881,1
1576231942.0792766,15206,1
1576231942.0805085,16607,1
1576231942.0810492,8442,0
1576231942.081227,11978,1
1576231942.0815883,12295,1
1576231942.0817578,3,3
1576231942.0819004,12796,1
1576231942.0822845,12703,1
1576231942.082617,5,2
1576231942.0834935,14294,1
1576231942.0840387,14444,1
1576231942.0848622,11884,1
1576231942.0854383,10477,0
1576231942.0866647,4,3
1576231942.087448,14088,1
1576231942.0877008,15018,1
1576231942.0877287,15096,1
1576231942.0892248,6,2
1576231942.0903308,5,2
1576231942.0909774,17994,1
1576231942.093399,20757,1
1576231942.0934699,19524,1
1576231942.0941653,20345,1
1576231942.0948014,20864,1
1576231942.094989,21135,1
1576231942.0978172,24126,1
1576231942.0990949,24868,1
1576231942.1005611,4,2
1576231942.1037853,3,2
1576231942.1065066,2,2
1576231942.1088428,1,2
1576231942.1098099,0,2
1576231942.5696304,1987,0
1576231942.5698574,0,3
1576231942.5700543,1,2
1576231942.5715368,3409,1
1576231942.5733442,5110,1
1576231942.5740585,6534,1
1576231942.5744066,6208,1
1576231942.5746083,6059,1
1576231942.575454,7014,1
1576231942.575902,8273,1
1576231942.5781212,0,2
1576231943.0669885,1402,0
1576231943.0671651,0,3
1576231943.0681806,1,2
1576231943.0696375,2951,1
1576231943.0732322,4415,1
1576231943.0773294,9043,1
1576231943.0796347,13409,1
1576231943.0816064,15095,1
1576231943.0831432,16500,1
1576231943.083224,14556,1
1576231943.0856328,19551,1
1576231943.0958767,0,2
1576231947.0929432,18317,0
1576231947.1010258,0,3
1576231947.105179,26063,0
1576231947.105303,1,2
1576231947.1126835,1,3
1576231947.112796,36753,1
1576231947.1141686,38013,1
1576231947.1152835,2,2
1576231947.1156435,38148,1
1576231947.118763,42504,1
1576231947.1190484,42788,1
1576231947.121461,45065,1
1576231947.1222608,47265,1
1576231947.124369,43804,0
1576231947.1264262,48542,1
1576231947.127602,2,3
1576231947.1285567,3,2
1576231947.1307242,49946,1
1576231947.134786,53810,1
1576231947.1369565,58818,1
1576231947.1378872,57581,1
1576231947.1385996,54660,1
1576231947.1397064,57924,1
1576231947.1421847,61040,1
1576231947.142663,61300,1
1576231947.1448925,61921,0
1576231947.147076,66473,1
1576231947.147695,3,3
