timestamp,policy
1576198958.5953054,0
1576198958.7587268,0
1576198963.7626688,0
1576198963.927205,0
1576198968.9298325,0
1576198969.093493,0
1576198974.0936174,0
1576198974.2617793,0
1576198979.2616427,0
1576198979.4288635,0
1576198984.4273689,0
1576198984.6030478,1
1576198984.7677038,1
1576198989.5983422,1
1576198989.791101,1
1576198989.9455001,1
1576198994.9712021,1
1576198995.1259894,1
1576199000.145191,1
1576199000.301026,1
1576199005.3228738,1
1576199005.4787436,1
1576199010.4924355,0
1576199010.6582751,0
1576199010.667527,1
1576199010.8406904,1
1576199015.8558257,1
1576199016.0304618,1
1576199021.0454373,1
1576199021.2201116,0
1576199021.3811216,0
1576199026.2208385,1
1576199026.558393,0
1576199031.3814528,0
1576199031.538192,0
1576199031.7228768,0
1576199036.7059197,0
1576199036.8941152,0
1576199041.875494,0
1576199042.0616417,0
1576199047.0505424,0
1576199047.2339997,0
1576199052.2197242,0
1576199052.39381,0
1576199057.395824,0
1576199057.55935,0
1576199062.5713434,1
1576199062.736678,0
1576199062.7455869,0
1576199067.8967695,0
1576199067.9086359,0
1576199073.0734334,1
1576199073.0876048,1
1576199073.2480102,0
1576199073.2605731,0
1576199078.423389,0
1576199078.4337733,0
1576199083.6035645,0
1576199083.610016,0
1576199088.7813613,0
1576199088.7870712,0
1576199093.9612134,0
1576199093.968007,0
1576199099.1388893,1
1576199099.1553628,1
1576199099.3130867,1
1576199099.3244624,1
1576199104.4903724,0
1576199104.5024362,1
1576199104.6641073,1
1576199109.6880274,1
1576199109.8509347,1
1576199114.8693917,1
1576199115.0328102,0
1576199115.2099001,0
1576199120.0534887,1
1576199120.3855386,1
1576199120.5601647,1
1576199125.223368,1
1576199125.7343552,0
1576199125.9043653,1
1576199130.3949132,0
1576199130.5687437,0
1576199131.0801954,1
1576199135.7426407,0
1576199136.2587593,0
1576199136.43186,0
1576199140.9240088,1
1576199141.0948787,1
1576199141.606147,0
1576199146.2642212,0
1576199146.4305134,0
1576199146.7709339,0
1576199151.5998297,0
1576199151.9413002,0
1576199156.7705457,0
1576199157.1095204,0
1576199161.940776,0
1576199162.283527,0
1576199167.1143336,0
1576199167.4490678,0
1576199172.2797801,0
1576199172.622327,0
1576199177.4529328,0
1576199177.792885,0
1576199182.6211832,1
1576199182.7886577,1
1576199182.9603832,1
1576199183.1331754,1
1576199187.9620905,1
1576199188.311391,1
1576199193.1344552,1
1576199193.4751182,1
1576199198.3174853,1
1576199198.6502793,1
1576199203.4906278,1
1576199203.8213193,1
1576199208.6579723,1
1576199208.9990003,1
1576199213.8351026,1
1576199214.1917214,1
1576199219.0001974,1
1576199219.3767343,1
1576199224.2092545,1
1576199224.5720046,1
1576199229.37806,1
1576199229.7619479,1
1576199234.5616293,1
1576199234.943656,1
1576199239.7413726,1
1576199240.1357841,1
1576199244.921848,1
1576199245.3214746,1
1576199250.1031394,1
1576199250.5087452,1
1576199255.2874448,1
1576199255.694537,1
1576199260.4758162,1
1576199260.8822627,1
1576199265.6657383,1
1576199266.0668898,1
1576199270.8555155,1
1576199271.2575347,1
1576199276.0436504,1
1576199276.4451876,1
1576199281.2351189,1
1576199281.6368177,1
1576199286.431375,1
1576199286.8296316,1
1576199291.6062362,1
1576199292.0099926,1
1576199296.793401,1
1576199297.1810327,1
1576199301.986624,1
1576199302.3549788,1
1576199307.172499,1
1576199307.5237043,1
1576199312.3510044,1
1576199312.716801,1
1576199317.52076,1
1576199317.889694,1
1576199322.7002265,1
1576199323.0640461,1
1576199327.874343,1
1576199328.2519531,1
1576199333.0524685,1
1576199333.4227645,1
1576199338.2253616,1
1576199338.6182237,1
1576199343.39948,1
1576199343.7901502,1
1576199348.5929747,1
1576199348.9650412,1
1576199353.7658782,1
1576199354.1454008,1
1576199358.9403262,1
1576199359.336077,1
1576199364.1541584,1
1576199364.5304658,1
1576199369.3519597,1
1576199369.721555,1
1576199374.5428813,1
1576199374.9078653,1
1576199379.732988,1
1576199380.1032674,1
1576199384.925207,1
1576199385.3048053,1
1576199390.123373,1
1576199390.5019479,1
1576199395.3193219,1
1576199395.6993759,1
1576199400.5177321,1
1576199400.900815,1
1576199405.7188349,1
1576199406.0984259,1
1576199410.9185026,1
1576199411.2886434,1
1576199416.101267,1
1576199416.484666,1
1576199421.291845,1
1576199421.6687188,1
1576199426.490473,1
1576199426.8540363,1
1576199431.6868944,1
1576199432.0456295,1
1576199436.8853924,1
1576199437.244196,1
1576199442.0617409,1
1576199442.420407,1
1576199447.2354352,1
1576199447.6192255,1
1576199452.4113228,1
